steps	episodes	elapsed	mean	median	stdev	max	min	average_q	average_loss
15100077	24561	142442.3609406948	12532.0	11280.0	6124.052398353379	23740.0	6240.0	6.253588172283105	2.2679447218945943
15200686	24684	143576.54371500015	12934.0	11810.0	5938.050933504098	25600.0	5340.0	5.726440964731315	2.251182373135965
15300493	24802	144700.83589673042	13158.0	11290.0	7293.988087611758	25560.0	6200.0	5.601067155952967	2.272576979042338
15401245	24909	145717.49610853195	9770.0	8760.0	4058.092053060294	16620.0	5460.0	7.175729933710166	2.2719828929156014
15500769	25020	146632.0399813652	6810.0	6780.0	2273.015618072168	9760.0	3160.0	6.265024131341429	2.2757554024429965
15600480	25140	147779.81847715378	13946.0	12030.0	7996.466163944616	26300.0	5340.0	7.3307353840133755	2.2696612442557424
15700350	25268	148776.10145235062	9624.0	6120.0	8365.361385565546	25500.0	3520.0	6.170291755979762	2.2793334267837726
15800157	25394	149652.4187824726	5880.0	6070.0	782.7586544466379	6760.0	4260.0	6.908875103104539	2.2807916128391965
15900557	25518	150751.5209429264	12598.0	12480.0	6265.868388872102	25560.0	4960.0	5.965960505653029	2.276634278075163
16000122	25642	151729.91460847855	8736.0	5840.0	5745.280575297336	20680.0	3540.0	6.353508591180398	2.2587336228202366
16100187	25764	152665.67917132378	7536.0	6920.0	3694.9791760050707	16680.0	3520.0	7.291241425295614	2.268963399424445
16200075	25874	153677.62831115723	9352.0	7840.0	6587.774535708803	26440.0	3540.0	7.131988650055757	2.2687119917194565
16300827	25991	154631.88102674484	7916.0	6490.0	4209.8698845028985	15580.0	3520.0	7.346872052522574	2.2562939102925745
16400051	26104	155555.41989302635	7662.0	6520.0	3768.4945417382673	16640.0	5020.0	7.729936978442163	2.261965438290125
16500522	26213	156585.0462193489	10136.0	8140.0	4856.343388920424	19280.0	6260.0	6.351295011055893	2.247936706784867
16600159	26334	157503.25532341003	7398.0	5410.0	6730.893617409867	26040.0	3240.0	7.911367996146886	2.2284546660778815
16700021	26465	158569.87743878365	10686.0	8670.0	6252.452318890565	23440.0	4920.0	7.516387252326099	2.2318372951652012
16800402	26581	159722.8021736145	13466.0	10740.0	7113.436737767633	24760.0	5040.0	6.55647921341887	2.2399117350318782
16900090	26707	160565.0929467678	5224.0	4900.0	1066.533324998958	6780.0	4100.0	7.581022901094101	2.2370820525686432
17000820	26823	161564.17376494408	9542.0	6760.0	6043.62253398848	22340.0	4840.0	6.688646143277342	2.226095152981141
17100397	26954	162411.94476413727	5180.0	5220.0	1033.0967471098188	6840.0	3500.0	8.29872477205816	2.237668480581802
17200140	27084	163435.21024656296	10724.0	9650.0	6538.676726474046	23100.0	3380.0	6.247568731478626	2.205480784320777
17300558	27202	164602.25068712234	14112.0	13630.0	7885.391274727942	26300.0	5320.0	6.790447263625124	2.2258626925812006
